angle [deg]	counting rate [cps]
20.00	51.64
20.50	47.66
21.00	59.32
21.50	64.98
22.00	45.43
22.50	50.32
23.00	51.20
23.50	45.46
24.00	49.53
24.50	47.09
25.00	52.55
25.50	52.75
26.00	56.89
26.50	62.63
27.00	87.67
27.50	285.56
28.00	309.37
28.50	139.54
29.00	71.26
29.50	62.19
30.00	97.32
30.50	1230.64
31.00	1417.15
31.50	717.93
32.00	204.96
32.50	64.13
33.00	60.38
33.50	63.42
34.00	61.57
34.50	39.65
35.00	64.05
35.50	60.45
36.00	45.62
36.50	42.80
37.00	42.89
37.50	48.44
38.00	47.39
38.50	44.24
39.00	41.55
39.50	48.01
40.00	30.04
40.50	32.19
41.00	29.78
41.50	41.18
42.00	33.92
42.50	30.48
43.00	31.23
43.50	34.91
44.00	33.88
44.50	30.38
45.00	31.05
45.50	16.74
46.00	23.93
46.50	30.51
47.00	34.30
47.50	19.49
48.00	27.70
48.50	29.06
49.00	26.40
49.50	27.13
50.00	27.24
